Id	No	Name	Type1	Type2
159	120	Staryu	Water	
160	121	Starmie	Water	Psychic
161	122	Mr. Mime	Psychic	Fairy
162	122	Galarian Mr. Mime	Ice	Psychic
163	123	Scyther	Bug	Flying
164	124	Jynx	Ice	Psychic
165	125	Electabuzz	Electric	
166	126	Magmar	Fire	
167	127	Pinsir	Bug	
168	127	Mega Pinsir	Bug	Flying
169	128	Tauros	Fighting	
170	128	Paldean Tauros	Fighting	Fire
171	128	Paldean Tauros	Fighting	Water
172	128	Tauros	Normal	
173	129	Magikarp	Water	
174	130	Gyarados	Water	Flying
175	130	Mega Gyarados	Water	Dark
176	131	Lapras	Water	Ice
177	132	Ditto	Normal	
178	133	Eevee	Normal	
179	134	Vaporeon	Water	
180	135	Jolteon	Electric	
181	136	Flareon	Fire	
182	137	Porygon	Normal	
183	138	Omanyte	Rock	Water
184	139	Omastar	Rock	Water
185	140	Kabuto	Rock	Water
186	141	Kabutops	Rock	Water
187	142	Aerodactyl	Rock	Flying
188	142	Mega Aerodactyl	Rock	Flying
189	143	Snorlax	Normal	
190	144	Articuno	Ice	Flying
191	144	Galarian Articuno	Psychic	Flying
192	145	Zapdos	Electric	Flying
193	145	Galarian Zapdos	Fighting	Flying
194	146	Moltres	Fire	Flying
195	146	Galarian Moltres	Dark	Flying
196	147	Dratini	Dragon	
197	148	Dragonair	Dragon	
198	149	Dragonite	Dragon	Flying
199	150	Mewtwo	Psychic	
200	150	Mega Mewtwo X	Psychic	Fighting
201	150	Mega Mewtwo Y	Psychic	
202	151	Mew	Psychic	
